Facility Name,Health Facility Type
LUMBA-BAYABAO RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
MAPANTAO BARANGAY HEALTH STATION,Barangay Health Station
TALUAN BARANGAY HEALTH STATION,Barangay Health Station
LUMBACA-UNAYAN RURAL HEALTH UNIT,Rural Health Unit
LUMBATAN RURAL HEALTH UNIT,Rural Health Unit
LUMBATAN RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
LUMBAYANAGUE RURAL HEALTH UNIT,Rural Health Unit
LUMBAYANAGUE RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
LINUK BARANGAY HEALTH STATION,Barangay Health Station
MADALUM RURAL HEALTH UNIT,Rural Health Unit
MADALUM RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
MADAMBA RURAL HEALTH UNIT,Rural Health Unit
MADAMBA RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
UYAAN BARANGAY HEALTH STATION,Barangay Health Station
BOLAO BARANGAY HEALTH STATION,Barangay Health Station
MADAYA BARANGAY HEALTH STATION,Barangay Health Station
MAGUING RURAL HEALTH UNIT,Rural Health Unit
MAGUING RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
DR. SERAPIO MONTAÑER JR. AL-HAJ MEMORIAL HOSPITAL,Hospital
MACABANTOG WELL FAMILY MIDWIFE CLINIC,Birthing Home
MALABANG RURAL HEALTH UNIT,Rural Health Unit
MALABANG RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
RALPH EDMUND SPENCER FOUNDATION INC. HOSPITAL,Infirmary
TACUB BARANGAY HEALTH STATION,Barangay Health Station
CAMPONG INUDARAN BARANGAY HEALTH STATION,Barangay Health Station
HIJRAH HOSPITAL,Hospital
KIALDAN BARANGAY HEALTH STATION,Barangay Health Station
LINUK CAWAYAN BARANGAY HEALTH STATION,Barangay Health Station
LUMBACAINGUD MAUL BARANGAY HEALTH STATION,Barangay Health Station
MANTAPOLI BARANGAY HEALTH STATION,Barangay Health Station
MARANTAO RURAL HEALTH UNIT,Rural Health Unit
MARANTAO RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
MAROGONG RURAL HEALTH UNIT,Rural Health Unit
MAROGONG RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
PIANGOLOGAN BARANGAY HEALTH STATION,Barangay Health Station
LAILA  LUMBAC BARANGAY HEALTH STATION,Barangay Health Station
MASIO RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
MASIU RURAL HEALTH UNIT,Rural Health Unit
MORIATAO BAE BARANGAY HEALTH STATION,Barangay Health Station
SAMBOWANG ATAWA BARANGAY HEALTH STATION,Barangay Health Station
DALAMA BARANGAY HEALTH STATION,Barangay Health Station
MULONDO RURAL HEALTH UNIT,Rural Health Unit
MULONDO RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
PAGAYAWAN RURAL HEALTH UNIT,Rural Health Unit
OLANGO BARANGAY HEALTH STATION,Barangay Health Station
PIAGAPO RURAL HEALTH UNIT,Rural Health Unit
PIAGAPO RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
PINDOLONAN BARANGAY HEALTH STATION,Barangay Health Station
RADAPAN BARANGAY HEALTH STATION,Barangay Health Station
UDALO BARANGAY HEALTH STATION,Barangay Health Station
BULANGOS BARANGAY HEALTH STATION,Barangay Health Station
MAGANDING BARANGAY HEALTH STATION,Barangay Health Station
PICONG (SULTAN GUMANDER) RURAL HEALTH UNIT,Rural Health Unit
PICONG RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
PUNONG BARANGAY HEALTH STATION,Barangay Health Station
CADAYONAN BARANGAY HEALTH STATION,Barangay Health Station
POONA BAYABAO BIRTHING CLINIC,Birthing Home
POONA-BAYABAO RURAL HEALTH UNIT,Rural Health Unit
RAGAYAN BARANGAY HEALTH STATION,Barangay Health Station
PUALAS RURAL HEALTH UNIT,Rural Health Unit
BAGO-INGUD BARANGAY HEALTH STATION,Barangay Health Station
BATANGAN BARANGAY HEALTH STATION,Barangay Health Station
COMONAL BARANGAY HEALTH STATION,Barangay Health Station
DILAUSAN BARANGAY HEALTH STATION,Barangay Health Station
PANTAON BARANGAY HEALTH STATION,Barangay Health Station
PAWAK BARANGAY HEALTH STATION,Barangay Health Station
SAGUIARAN RURAL HEALTH UNIT,Rural Health Unit
SAGUIARAN RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
SULTAN DUMALONDONG RURAL HEALTH UNIT,Rural Health Unit
SULTAN DUMALONDONG RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
TAGOLOAN II RURAL HEALTH UNIT,Rural Health Unit
TAGOLOAN RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
TAMPARAN DISTRICT HOSPITAL,Hospital
"TAMPARAN MEDICAL FOUNDATION, INC. HOSPITAL",Hospital
TAMPARAN RURAL HEALTH UNIT,Rural Health Unit
TAMPARAN RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
DOC AMBOR MATERNITY AND LYING-IN CLINIC,Birthing Home
GAPAO BALINDONG BARANGAY HEALTH STATION,Barangay Health Station
ILIAN BARANGAY HEALTH STATION,Barangay Health Station
TARAKA RURAL HEALTH UNIT,Rural Health Unit
TARAKA RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
TUBARAN RURAL HEALTH UNIT,Rural Health Unit
DILIMBAYAN BARANGAY HEALTH STATION,Barangay Health Station
TUGAYA RURAL HEALTH UNIT,Rural Health Unit
TUGAYA RURAL HEALTH UNIT BIRTHING HOME,Birthing Home
AMOYONG BARANGAY HEALTH STATION,Barangay Health Station
BALATIN BARANGAY HEALTH STATION,Barangay Health Station
BOOT BARANGAY HEALTH STATION,Barangay Health Station
BUNTONGAN BARANGAY HEALTH STATION,Barangay Health Station
CEBUANO GROUP BARANGAY HEALTH STATION,Barangay Health Station
CHRISTIAN VILLAGE BARANGAY HEALTH STATION,Barangay Health Station
DIOMIL BARANGAY HEALTH STATION,Barangay Health Station
EAST KILIKILI BARANGAY HEALTH STATION,Barangay Health Station
EASTERN WAO BARANGAY HEALTH STATION,Barangay Health Station
EXTENSION POBLACION BARANGAY HEALTH STATION,Barangay Health Station
GATA BARANGAY HEALTH STATION,Barangay Health Station
KABATANGAN BARANGAY HEALTH STATION,Barangay Health Station
KADINGILAN BARANGAY HEALTH STATION,Barangay Health Station
KATUTUNGAN BARANGAY HEALTH STATION,Barangay Health Station
MALAIGANG BARANGAY HEALTH STATION,Barangay Health Station
MANILA GROUP BARANGAY HEALTH STATION,Barangay Health Station
MILAYA BARANGAY HEALTH STATION,Barangay Health Station
MIMBUAYA BARANGAY HEALTH STATION,Barangay Health Station
MUSLIM VILLAGE BARANGAY HEALTH STATION,Barangay Health Station
NORTH PARK AREA BARANGAY HEALTH STATION,Barangay Health Station
