Facility Name,Health Facility Type
CATICUGAN BARANGAY HEALTH STATION,Barangay Health Station
GUMAMELA POBLACION MAIN HEALTH CENTER I,Barangay Health Station
GUMAMELA POBLACION MAIN HEALTH CENTER II,Barangay Health Station
HINANGUDTAN BARANGAY HEALTH STATION,Barangay Health Station
LUPIG BARANGAY HEALTH STATION,Barangay Health Station
MALIGAYA BARANGAY HEALTH STATION,Barangay Health Station
PAGSULHUGON BARANGAY HEALTH STATION,Barangay Health Station
SANTA RITA RURAL HEALTH UNIT,Rural Health Unit
SOLIS BIRTHING CLINIC,Birthing Home
TOMINAMOS BARANGAY HEALTH STATION,Barangay Health Station
CABUNGA-AN BARANGAY HEALTH STATION,Barangay Health Station
SANTO NIÑO RURAL HEALTH UNIT,Rural Health Unit
SEVILLA BARANGAY HEALTH STATION,Barangay Health Station
VILLAHERMOSA BARANGAY HEALTH STATION,Barangay Health Station
BALOCAWE BARANGAY HEALTH STATION,Barangay Health Station
BAQUIW BARANGAY HEALTH STATION,Barangay Health Station
TAGAPUL-AN BARANGAY HEALTH STATION,Barangay Health Station
TAGAPUL-AN RURAL HEALTH UNIT,Rural Health Unit
MALLORGA BARANGAY HEALTH STATION,Barangay Health Station
NAVATAS DAKU BARANGAY HEALTH STATION,Barangay Health Station
TALALORA MAIN HEALTH CENTER,Barangay Health Station
TALALORA RURAL HEALTH UNIT,Rural Health Unit
TATABUNAN BARANGAY HEALTH STATION,Barangay Health Station
BAHAY BARANGAY HEALTH STATION,Barangay Health Station
MAJACOB BARANGAY HEALTH STATION,Barangay Health Station
OESTE BARANGAY HEALTH STATION,Barangay Health Station
SANTA CRUZ BARANGAY HEALTH STATION,Barangay Health Station
TALINGA BARANGAY HEALTH STATION,Barangay Health Station
TARANGNAN COMMUNITY HOSPITAL,Infirmary
TARANGNAN MAIN HEALTH CENTER,Barangay Health Station
TARANGNAN RURAL HEALTH UNIT,Rural Health Unit
CANMUCAT BARANGAY HEALTH STATION,Barangay Health Station
GUINTARCAN BARANGAY HEALTH STATION,Barangay Health Station
IGOT BARANGAY HEALTH STATION,Barangay Health Station
LAMINGAO BARANGAY HEALTH STATION,Barangay Health Station
MARIA DESAMPARADO BIRTHING CLINIC,Birthing Home
PLARIDEL BARANGAY HEALTH STATION,Barangay Health Station
SAN ANDRES BARANGAY HEALTH STATION,Barangay Health Station
SANTO NIÑO BARANGAY HEALTH STATION,Barangay Health Station
VILLAREAL MAIN HEALTH CENTER,Barangay Health Station
VILLAREAL RURAL HEALTH UNIT,Rural Health Unit
VILLAREAL RURAL HEALTH UNIT - BIRTHING FACILITY,Birthing Home
BIOSO BARANGAY HEALTH STATION,Barangay Health Station
MACALUNOD BARANGAY HEALTH STATION,Barangay Health Station
MUALBUAL BARANGAY HEALTH STATION,Barangay Health Station
SAN ISIDRO BARANGAY HEALTH STATION,Barangay Health Station
ZUMARRAGA MAIN HEALTH CENTER,Barangay Health Station
ZUMARRAGA RURAL HEALTH UNIT,Rural Health Unit
AMAGUSAN BARANGAY HEALTH STATION,Barangay Health Station
ANAHAWAN DISTRICT HOSPITAL,Hospital
ANAHAWAN MAIN HEALTH CENTER,Barangay Health Station
ANAHAWAN RURAL HEALTH UNIT,Rural Health Unit
MAHALO BARANGAY HEALTH STATION,Barangay Health Station
BONTOC POBLACION BARANGAY HEALTH STATION,Barangay Health Station
BONTOC RURAL HEALTH UNIT,Rural Health Unit
BONTOC RURAL HEALTH UNIT BIRTHING CENTER,Birthing Home
BUENAVISTA BARANGAY HEALTH STATION,Barangay Health Station
CASAO BARANGAY HEALTH STATION,Barangay Health Station
DIVISORIA BARANGAY HEALTH STATION,Barangay Health Station
GUINSANGAAN BARANGAY HEALTH STATION,Barangay Health Station
HILAAN BARANGAY HEALTH STATION,Barangay Health Station
PAKU BARANGAY HEALTH STATION,Barangay Health Station
ABGAO BARANGAY HEALTH STATION,Barangay Health Station
ASUNCION BARANGAY HEALTH STATION,Barangay Health Station
BATO II BARANGAY HEALTH STATION,Barangay Health Station
BAUGO BARANGAY HEALTH STATION,Barangay Health Station
CANYUOM BARANGAY HEALTH STATION,Barangay Health Station
DIOCESE OF MAASIN DIALYSIS CENTER WITH LABORATORY,Dialysis Clinic
DIVINE RAYS DIAGNOSTIC AND MEDICAL,General Clinical Laboratory
DIVINE RAYS DIAGNOSTIC AND MEDICAL,Drug Testing Laboratory
DONGON BARANGAY HEALTH STATION,Barangay Health Station
GUADALUPE BARANGAY HEALTH STATION,Barangay Health Station
HINAPU DAKO BARANGAY HEALTH STATION,Barangay Health Station
IBARRA BARANGAY HEALTH STATION,Barangay Health Station
LIBHU BARANGAY HEALTH STATION,Barangay Health Station
"LIVINGHOPE HOSPITAL, INC.",Hospital
MAASIN CITY HEALTH UNIT I,Rural Health Unit
MAASIN CITY HEALTH UNIT II,Rural Health Unit
MAASIN CITY HEALTH UNIT III,Rural Health Unit
MAASIN CITY LGU,Ambulance Service Provider
MAASIN MEDCITY HOSPITAL,Hospital
MALAPOC SUR BARANGAY HEALTH STATION,Barangay Health Station
MANHILO BARANGAY HEALTH STATION,Barangay Health Station
NASAUG BARANGAY HEALTH STATION,Barangay Health Station
NONOK NORTE BARANGAY HEALTH STATION,Barangay Health Station
PANAN-AWAN BARANGAY HEALTH STATION,Barangay Health Station
PANSAAN BARANGAY HEALTH STATION,Barangay Health Station
RIZAL BARANGAY HEALTH STATION,Barangay Health Station
SALVACION OPPUS YNIGUEZ MEMORIAL PROVINCIAL HOSPITAL,Hospital
SAN JOSE BARANGAY HEALTH STATION,Barangay Health Station
SANTA CRUZ BARANGAY HEALTH STATION,Barangay Health Station
SOUTHERN LEYTE PROVINCIAL DEPARTMENT OF HEALTH OFFICE,Provincial Department of Health Office
TAGNIPA (POB.) BARANGAY HEALTH STATION,Barangay Health Station
THE COLLEGE OF MAASIN MATERNITY CLINIC,Birthing Home
VERANO CLINIC AND DIAGNOSTIC LABORATORY,General Clinical Laboratory
BADIANGON BARANGAY HEALTH STATION,Barangay Health Station
CALAG-ITAN BARANGAY HEALTH STATION,Barangay Health Station
CANIPAAN BARANGAY HEALTH STATION,Barangay Health Station
CATUBLIAN BARANGAY HEALTH STATION,Barangay Health Station
HINUNANGAN COMMUNITY HOSPITAL,Infirmary
HINUNANGAN DIALYSIS CENTER,Dialysis Clinic
HINUNANGAN RURAL HEALTH UNIT,Rural Health Unit
L. MEDICAL AND DIAGNOSTIC CENTER,General Clinical Laboratory
NAVA BARANGAY HEALTH STATION,Barangay Health Station
OTAMA BARANGAY HEALTH STATION,Barangay Health Station
SANTO NIÑO II BARANGAY HEALTH STATION,Barangay Health Station
STO. NIÑO II BHS BIRTHING HOME,Birthing Home
BACULOD BARANGAY HEALTH STATION,Barangay Health Station
HINUNDAYAN RURAL HEALTH UNIT,Rural Health Unit
HINUNDAYAN RURAL HEALTH UNIT - BIRTHING FACILITY,Birthing Home
HUBASAN BARANGAY HEALTH STATION,Barangay Health Station
SAGBOK BARANGAY HEALTH STATION,Barangay Health Station
ST. VINCENT MEDICAL CLINIC,Infirmary
LIBAGON POBLACION BARANGAY HEALTH STATION,Barangay Health Station
LIBAGON RURAL HEALTH UNIT,Rural Health Unit
MAYUGA BARANGAY HEALTH STATION,Barangay Health Station
NAHAONG BARANGAY HEALTH STATION,Barangay Health Station
CALIAN BARANGAY HEALTH STATION,Barangay Health Station
CALIGANGAN BARANGAY HEALTH STATION,Barangay Health Station
GUINTOYLAN BARANGAY HEALTH STATION,Barangay Health Station
HIMAYANGAN BARANGAY HEALTH STATION,Barangay Health Station
LILIOAN POBLACION BARANGAY HEALTH STATION,Barangay Health Station
LILOAN COMMUNITY HOSPITAL,Infirmary
LILOAN RURAL HEALTH UNIT,Rural Health Unit
PICSON MATERNITY CLINIC,Birthing Home
PRES. QUEZON (MAUGOC) BARANGAY HEALTH STATION,Barangay Health Station
TABUGON BARANGAY HEALTH STATION,Barangay Health Station
LIMASAWA RURAL HEALTH UNIT,Rural Health Unit
LIMASAWA RURAL HEALTH UNIT AND BIRTHING FACILITY,Birthing Home
MAGALLANES BARANGAY HEALTH STATION,Barangay Health Station
SAN BERNARDO BARANGAY HEALTH STATION,Barangay Health Station
TRIANA BARANGAY HEALTH STATION,Barangay Health Station
AGUINALDO BARANGAY HEALTH STATION,Barangay Health Station
AMPARO BARANGAY HEALTH STATION,Barangay Health Station
ILIHAN BARANGAY HEALTH STATION,Barangay Health Station
MACROHON POBLACION MAIN HEALTH CENTER,Barangay Health Station
MACROHON RURAL HEALTH UNIT,Rural Health Unit
SALVADOR (MANGYANG) BARANGAY HEALTH STATION,Barangay Health Station
SAN ROQUE BARANGAY HEALTH STATION,Barangay Health Station
CADARUHAN BARANGAY HEALTH STATION,Barangay Health Station
CONCEPCION BARANGAY HEALTH STATION,Barangay Health Station
LAMBONAO BARANGAY HEALTH STATION,Barangay Health Station
MALITBOG RURAL HEALTH UNIT,Rural Health Unit
MAUJO BARANGAY HEALTH STATION,Barangay Health Station
SAN VICENTE BARANGAY HEALTH STATION,Barangay Health Station
TALIWA BARANGAY HEALTH STATION,Barangay Health Station
TIMBA BARANGAY HEALTH STATION,Barangay Health Station
LUNGSODAAN BARANGAY HEALTH STATION,Barangay Health Station
PADRE BURGOS COMMUNITY HOSPITAL,Infirmary
PADRE BURGOS RURAL HEALTH UNIT,Rural Health Unit
PADRE BURGOS RURAL HEALTH UNIT,Ambulance Service Provider
Q & A DIAGNOSTIC LABORATORY,General Clinical Laboratory
SAN JUAN BARANGAY HEALTH STATION,Barangay Health Station
SANTO ROSARIO BARANGAY HEALTH STATION,Barangay Health Station
BALONG-BALONG BARANGAY HEALTH STATION,Barangay Health Station
CATBAWAN BARANGAY HEALTH STATION,Barangay Health Station
CAUBANG BARANGAY HEALTH STATION,Barangay Health Station
PINTUYAN DISTRICT HOSPITAL,Infirmary
PINTUYAN RURAL HEALTH UNIT,Rural Health Unit
CABAGAWAN BARANGAY HEALTH STATION,Barangay Health Station
CATMON BARANGAY HEALTH STATION,Barangay Health Station
ESCOBIDO DENTAL LABORATORY,Occupational Dental Laboratory
HIMATAGON BARANGAY HEALTH STATION,Barangay Health Station
HIMBANGAN BARANGAY HEALTH STATION,Barangay Health Station
MAGBAGACAY BARANGAY HEALTH STATION,Barangay Health Station
MAHAYAHAY BARANGAY HEALTH STATION,Barangay Health Station
MALIBAGO BARANGAY HEALTH STATION,Barangay Health Station
SAINT BERNARD RURAL HEALTH UNIT,Rural Health Unit
SAINT BERNARD RURAL HEALTH UNIT AND FAMILY PLANNING CENTER,Birthing Home
HABAY BARANGAY HEALTH STATION,Barangay Health Station
MARAYAG BARANGAY HEALTH STATION,Barangay Health Station
PASANON BARANGAY HEALTH STATION,Barangay Health Station
SAN FRANCISCO RURAL HEALTH UNIT,Rural Health Unit
SANTA PAZ BARANGAY HEALTH STATION,Barangay Health Station
PONG-OY BARANGAY HEALTH STATION,Barangay Health Station
RURAL HEALTH UNIT SAN JUAN BIRTHING FACILITY,Birthing Home
SAN JOSE BARANGAY HEALTH STATION,Barangay Health Station
SAN JUAN RURAL HEALTH UNIT,Rural Health Unit
TIMBA BARANGAY HEALTH STATION,Barangay Health Station
ESPERANZA BARANGAY HEALTH STATION,Barangay Health Station
PINUT-AN BARANGAY HEALTH STATION,Barangay Health Station
SAN RICARDO RURAL HEALTH UNIT,Rural Health Unit
SAUB BARANGAY HEALTH STATION,Barangay Health Station
HINGATUNGAN BARANGAY HEALTH STATION,Birthing Home
KATIPUNAN BARANGAY HEALTH STATION,Barangay Health Station
LAGUMA BARANGAY HEALTH STATION,Barangay Health Station
MERCEDES BARANGAY HEALTH STATION,Birthing Home
MERCEDES BARANGAY HEALTH STATION,Barangay Health Station
SILAGO RURAL HEALTH UNIT,Rural Health Unit
SILAGO RURAL HEALTH UNIT AND FAMILY PLANNING,Birthing Home
BUAC GAMAY BARANGAY HEALTH STATION,Barangay Health Station
CHRIST THE HEALER HOSPITAL,Hospital
CONSOLACION BARANGAY HEALTH STATION,Barangay Health Station
CONSUELO K. TAN MEMORIAL MEDICAL CENTER,Hospital
CORROMPIDO GENERAL HOSPITAL,Hospital
DIVINE MERCY DIALYSIS CENTER,Dialysis Clinic
DIVINE RAYS DIAGNOSTIC AND MEDICAL CENTER,General Clinical Laboratory
DIVINE RAYS DIAGNOSTIC AND MEDICAL CENTER,Drug Testing Laboratory
DR. JADOC ADULT AND CHILD EYE  CENTER,Ambulatory Surgical Clinic
HAVILAH POLYMEDIC,Infirmary
LIBAS BARANGAY HEALTH STATION,Barangay Health Station
MAGATAS BARANGAY HEALTH STATION,Barangay Health Station
MATIAS DENTAL LABORATORY,Occupational Dental Laboratory
PANCHO VILLA BARANGAY HEALTH STATION,Barangay Health Station
PUDPUD POLYCLINIC AND SPECIALTY HOSPITAL LABORATORY,General Clinical Laboratory
SAN ISIDRO BARANGAY HEALTH STATION,Barangay Health Station
SOGOD BARANGAY HEALTH STATION POBLACION I,Barangay Health Station
SOGOD BARANGAY HEALTH STATION POBLACION II,Barangay Health Station
SOGOD DISTRICT HOSPITAL,Hospital
SOGOD RURAL HEALTH UNIT,Rural Health Unit
SOGOD RURAL HEALTH UNIT AND BIRTHING FACILITY,Birthing Home
BOGO POBLACION BARANGAY HEALTH STATION,Barangay Health Station
CAMBITE (POB.) BARANGAY HEALTH STATION,Barangay Health Station
CAWAYAN BARANGAY HEALTH STATION,Barangay Health Station
LOOC BARANGAY HEALTH STATION,Barangay Health Station
MAG-ATA BARANGAY HEALTH STATION,Barangay Health Station
RIZAL BARANGAY HEALTH STATION,Barangay Health Station
RURAL HEALTH UNIT TOMAS OPPUS BIRTHING HOME,Birthing Home
TOMAS OPPUS RURAL HEALTH UNIT,Rural Health Unit
BALINTAD BARANGAY HEALTH STATION,Barangay Health Station
BAUNGON MATERNAL HEALTH AND CHILD CARE CENTER,Birthing Home
BAUNGON RURAL HEALTH UNIT,Rural Health Unit
BUENAVISTA BARANGAY HEALTH STATION,Barangay Health Station
DANATAG BARANGAY HEALTH STATION,Barangay Health Station
IMBATUG (POB.) BARANGAY HEALTH STATION,Barangay Health Station
KALILANGAN BARANGAY HEALTH STATION,Barangay Health Station
LACOLAC BARANGAY HEALTH STATION,Barangay Health Station
LANGAON BARANGAY HEALTH STATION,Barangay Health Station
LIBORAN BARANGAY HEALTH STATION,Barangay Health Station
LINGATING BARANGAY HEALTH STATION,Barangay Health Station
MABUHAY BARANGAY HEALTH STATION,Barangay Health Station
MABUNGA BARANGAY HEALTH STATION,Barangay Health Station
NICDAO BARANGAY HEALTH STATION,Barangay Health Station
PUALAS BARANGAY HEALTH STATION,Barangay Health Station
SALIMBALAN BARANGAY HEALTH STATION,Barangay Health Station
SAN MIGUEL BARANGAY HEALTH STATION,Barangay Health Station
SAN VICENTE BARANGAY HEALTH STATION,Barangay Health Station
ANLOGAN BARANGAY HEALTH STATION,Barangay Health Station
CABANGLASAN BIRTHING HOME,Birthing Home
CABANGLASAN BIRTHING HOME,Ambulance Service Provider
CABANGLASAN BIRTHING HOME,General Clinical Laboratory
CABANGLASAN RURAL HEALTH UNIT,Rural Health Unit
CABULOHAN BARANGAY HEALTH STATION,Barangay Health Station
CANANGAAN BARANGAY HEALTH STATION,Barangay Health Station
CAPINONAN BARANGAY HEALTH STATION,Barangay Health Station
DALACUTAN BARANGAY HEALTH STATION,Barangay Health Station
FREEDOM BARANGAY HEALTH STATION,Barangay Health Station
IBA BARANGAY HEALTH STATION,Barangay Health Station
IMBATUG BARANGAY HEALTH STATION,Barangay Health Station
JASAAN BARANGAY HEALTH STATION,Barangay Health Station
LAMBANGAN BARANGAY HEALTH STATION,Barangay Health Station
MANDAHIKAN BARANGAY HEALTH STATION,Barangay Health Station
MANDAING BARANGAY HEALTH STATION,Barangay Health Station
MAUSWAGON BARANGAY HEALTH STATION,Barangay Health Station
PARADISE BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SACRED HEART OF JESUS MEDICAL CLINIC,Birthing Home
A & K MALAYBALAY CLINICAL LAB. & DRUG TESTING CENTER,Drug Testing Laboratory
AGLAYAN BARANGAY HEALTH STATION,Birthing Home
ANGEL'S HAVEN LYING IN AND FAMILY PLANNING CLINIC,Birthing Home
APO MACOTE BARANGAY HEALTH STATION,Barangay Health Station
AUGUSTUS LYING-IN CLINIC,Birthing Home
BANGCUD BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY 1 BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY 10 BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY 11  BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY 2  BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY 3 BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY 4 BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY 5  BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY 6  BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY 7 BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY 8 BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY 9  BARANGAY HEALTH STATION,Barangay Health Station
BENDUM HEALTH STATION,Barangay Health Station
"BETHEL BAPTIST HOSPITAL, INC.",Hospital
BMS MEDICAL LABORATORY,General Clinical Laboratory
BRGY. AGLAYAN LYING-IN CLINIC AND DIAGNOSTIC CENTER,Birthing Home
BUKIDNON PROVINCIAL DEPARTMENT OF HEALTH OFFICE,Provincial Department of Health Office
BUKIDNON PROVINCIAL MEDICAL CENTER - MALAYBALAY CITY,Hospital
BUKIDNON PROVINCIAL MEDICAL CENTER MALAYBALAY CITY,COVID-19 Testing Laboratory
BUSDI BARANGAY HEALTH STATION,Barangay Health Station
CABANGAHAN BARANGAY HEALTH STATION,Barangay Health Station
CABURACANAN BARANGAY HEALTH STATION,Barangay Health Station
CAN-AYAN BARANGAY HEALTH STATION,Barangay Health Station
CANDIISAN BARANGAY HEALTH STATION,Barangay Health Station
CAPITAN ANGEL BARANGAY HEALTH STATION,Barangay Health Station
CASISANG 1 BARANGAY HEALTH STATION,Barangay Health Station
CASISANG II BARANGAY HEALTH STATION,Barangay Health Station
CASISANG III BARANGAY HEALTH STATION,Barangay Health Station
CHILD OF LOVE MATERNITY CLINIC,Birthing Home
DALWANGAN BARANGAY HEALTH STATION,Barangay Health Station
DAPULAN BARANGAY HEALTH STATION,Barangay Health Station
DOH DRUG ABUSE TREATMENT AND REHABILITATION CENTER - BUKIDNON,Drug Abuse Treatment and Rehabilitation Centers
IMBAYAO BARANGAY HEALTH STATION,Barangay Health Station
INDALASA BARANGAY HEALTH STATION,Barangay Health Station
KALASUNGAY BARANGAY HEALTH STATION,Barangay Health Station
KIBALABAG BARANGAY HEALTH STATION,Barangay Health Station
KILAP-AGAN BARANGAY HEALTH STATION,Barangay Health Station
KULAMAN BARANGAY HEALTH STATION,Barangay Health Station
LAGUITAS BARANGAY HEALTH STATION,Barangay Health Station
LALAWAN BARANGAY HEALTH STATION,Barangay Health Station
LINABO BARANGAY HEALTH STATION,Barangay Health Station
MABUHAY BARANGAY HEALTH STATION,Barangay Health Station
MAGSAYSAY BARANGAY HEALTH STATION,Barangay Health Station
MALAYBALAY CITY HEALTH OFFICE,City Health Office
MALAYBALAY MEDICAL HOSPITAL CARE,Hospital
"MALAYBALAY POLYMEDIC GENERAL HOSPITAL, INC.",Hospital
MALIGAYA BARANGAY HEALTH STATION,Barangay Health Station
MANAGOK 1 BARANGAY HEALTH STATION,Barangay Health Station
MANAGOK II BARANGAY HEALTH STATION,Barangay Health Station
MANALOG BARANGAY HEALTH STATION,Barangay Health Station
MAPAYAG BARANGAY HEALTH STATION,Barangay Health Station
MAPULO BARANGAY HEALTH STATION,Barangay Health Station
MIDWAY DOCTORS CLINIC,Infirmary
MIGLAMIN BARANGAY HEALTH STATION,Barangay Health Station
MOMMY'S CHILD MATERNITY CLINIC,Birthing Home
MOTHER AND CHILD LYING IN CLINIC,Birthing Home
MOTHER'S ANGEL BIRTHING HOME AND FAMILY PLANNING CLINIC,Birthing Home
MOTHER'S SAVER BIRTHING HOME,Birthing Home
ONE HEART MATERNITY AND CHILD CARE CENTER,Birthing Home
PATPAT BARANGAY HEALTH STATION,Barangay Health Station
QUICKSCAN DRUG TESTING LABORATORY,Drug Testing Laboratory
SAINT PETER BARANGAY HEALTH STATION,Barangay Health Station
SAN ISIDRO COLLEGE LYING-IN CLINIC,Birthing Home
SAN JOSE BARANGAY HEALTH STATION,Barangay Health Station
SAN MARTIN BARANGAY HEALTH STATION,Barangay Health Station
SILAE BARANGAY HEALTH STATION,Barangay Health Station
SIMAYA BARANGAY HEALTH STATION,Barangay Health Station
SINANGLANAN BARANGAY HEALTH STATION,Barangay Health Station
ST. JUDE THADDEUS GENERAL HOSPITAL (SJTGH),Hospital
ST. MARINA DIALYSIS CENTER,Dialysis Clinic
STO. NIÑO BARANGAY HEALTH STATION,Barangay Health Station
SUMPONG BARANGAY HEALTH STATION,Barangay Health Station
UPPER MAPULO BARANGAY HEALTH STATION,Barangay Health Station
VBB LYING-IN CLINIC,Birthing Home
VBB LYING-IN CLINIC - BRANCH 3,Birthing Home
VIOLETA BARANGAY HEALTH STATION,Barangay Health Station
ZAMBOANGUITA BARANGAY HEALTH STATION,Barangay Health Station
ABELLA MIDWAY HOSPITAL,Drug Testing Laboratory
ABELLA MIDWAY HOSPITAL,Hospital
"ADVENTIST MEDICAL CENTER - VALENCIA CITY, INC.",Drug Testing Laboratory
"ADVENTIST MEDICAL CENTER-VALENCIA CITY, INC.",Hospital
BAGONTAAS BARANGAY HEALTH STATION,Barangay Health Station
BANLAG BARANGAY HEALTH STATION,Barangay Health Station
BAROBO BARANGAY HEALTH STATION,Barangay Health Station
BATANGAN BARANGAY HEALTH STATION,Barangay Health Station
"BLANCO DOCTOR'S HOSPITAL, INC.",Infirmary
BLESS BIRTHING CLINIC,Birthing Home
CATUMBALON BARANGAY HEALTH STATION,Barangay Health Station
COLONIA BARANGAY HEALTH STATION,Barangay Health Station
CONCEPCION BARANGAY HEALTH STATION,Barangay Health Station
DAGAT-KIDAVAO BARANGAY HEALTH STATION,Barangay Health Station
ESTHER HOSPITAL,Hospital
GUINOYURAN BARANGAY HEALTH STATION,Barangay Health Station
JENN BIRTHING HOME,Birthing Home
KAHAPUNAN BARANGAY HEALTH STATION,Barangay Health Station
"LA VIÑA GENERAL HOSPITAL, INC.",Hospital
LALIGAN BARANGAY HEALTH STATION,Barangay Health Station
LILINGAYON BARANGAY HEALTH STATION,Barangay Health Station
LOURDES BARANGAY HEALTH STATION,Barangay Health Station
LUMBAYAO BARANGAY HEALTH STATION,Barangay Health Station
LUMBO BARANGAY HEALTH STATION,Barangay Health Station
LUROGAN BARANGAY HEALTH STATION,Barangay Health Station
LURUGAN BIRTHING HOME,Birthing Home
M7 LYING IN CLINIC,Birthing Home
MAAPAG BARANGAY HEALTH STATION,Barangay Health Station
MABUHAY BARANGAY HEALTH STATION,Barangay Health Station
MAILAG BARANGAY HEALTH STATION,Barangay Health Station
MEDIDAS MEDICAL CENTER INC.,Hospital
MERLA'S LYING-IN CLINIC,Birthing Home
MOMMY DAL BIRTHING CLINIC,Birthing Home
MT. NEBO BARANGAY HEALTH STATION,Barangay Health Station
NABAGO BARANGAY HEALTH STATION,Barangay Health Station
"NEPHROLOGY CENTER OF VALENCIA BUKIDNON DIALYSIS, INC.",Dialysis Clinic
PINATILAN BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARANGAY HEALTH STATION,Barangay Health Station
SAIT BIRTHING CLINIC,Birthing Home
SALVADOR MATERNITY CLINIC,Birthing Home
SAN CARLOS BARANGAY HEALTH STATION,Barangay Health Station
SAN ISIDRO BARANGAY HEALTH STATION,Barangay Health Station
SHIPHRAH-PUAH MATERNITY CLINIC,Birthing Home
SINABUAGAN BARANGAY HEALTH STATION,Barangay Health Station
SINAYAWAN BARANGAY HEALTH STATION,Barangay Health Station
ST. VINCENT FERRER CLINICAL LABORATORY,Drug Testing Laboratory
SUGOD BARANGAY HEALTH STATION,Barangay Health Station
TONGANTONGAN BARANGAY HEALTH STATION,Barangay Health Station
VALENCIA CHO MATERNITY CARE & TB-DOTS CENTER,Birthing Home
VALENCIA CHO MATERNITY CARE & TB-DOTS CENTER,Ambulance Service Provider
VALENCIA CHO MATERNITY CARE & TB-DOTS CENTER,General Clinical Laboratory
VALENCIA CITY HEALTH OFFICE,Rural Health Unit
VALENCIA MEDICAL HOSPITAL,Hospital
VALENCIA POLYMEDIC GENERAL HOSPITAL,Hospital
VICTORIA'S LYING IN CLINIC,Birthing Home
VINTAR BARANGAY HEALTH STATION,Barangay Health Station
YAP CLINICAL & CARDIOVASCULAR LABORATORY,General Clinical Laboratory
ALUDAS BARANGAY HEALTH STATION,Barangay Health Station
ANGGA-AN BARANGAY HEALTH STATION,Barangay Health Station
DAMULOG RURAL HEALTH UNIT,Rural Health Unit
"DAMULOG RURAL HEALTH UNIT FAMILY PLANNING, AND BIRTHING HOME",Birthing Home
"DAMULOG RURAL HEALTH UNIT FAMILY PLANNING, AND BIRTHING HOME",General Clinical Laboratory
KINAPAT BARANGAY HEALTH STATION,Barangay Health Station
KIRAON BARANGAY HEALTH STATION,Barangay Health Station
KITINGTING BARANGAY HEALTH STATION,Barangay Health Station
LAGANDANG BARANGAY HEALTH STATION,Barangay Health Station
MACAPARI BARANGAY HEALTH STATION,Barangay Health Station
MAICAN BARANGAY HEALTH STATION,Barangay Health Station
MIGCAWAYAN BARANGAY HEALTH STATION,Barangay Health Station
NEW COMPOSTELA BARANGAY HEALTH STATION,Barangay Health Station
OLD DAMULOG BARANGAY HEALTH STATION,Barangay Health Station
OMONAY BARANGAY HEALTH STATION,Barangay Health Station
POBLACION BARABGAY HEALTH STATION,Barangay Health Station
POCOPOCO BARANGAY HEALTH STATION,Barangay Health Station
SAMPAGAR BARANGAY HEALTH STATION,Barangay Health Station
SAN ISIDRO BARANGAY HEALTH STATION,Barangay Health Station
TANGKULAN (JOSE RIZAL) BARANGAY HEALTH STATION,Barangay Health Station
BARANGAY HEALTH STATION - POBLACION,Barangay Health Station
BARONGCOT BARANGAY HEALTH STATION,Barangay Health Station
BUGWAK BARANGAY HEALTH STATION,Barangay Health Station
DANGCAGAN BARANGAY HEALTH STATION,Barangay Health Station
DANGCAGAN RURAL HEALTH UNIT,Rural Health Unit
DOLOROSA BARANGAY HEALTH STATION,Barangay Health Station
KAPALARAN BARANGAY HEALTH STATION,Barangay Health Station
KIANGGAT BARANGAY HEALTH STATION,Barangay Health Station
LGU DANGCAGAN LYING-IN CLINIC,Birthing Home
LOURDES BARANGAY HEALTH STATION,Barangay Health Station
MACARTHUR BARANGAY HEALTH STATION,Barangay Health Station
MIARAY BARANGAY HEALTH STATION,Barangay Health Station
MIGCUYA BARANGAY HEALTH STATION,Barangay Health Station
NEW VISAYAS BARANGAY HEALTH STATION,Barangay Health Station
OSMEÑA BARANGAY HEALTH STATION,Barangay Health Station
SAGBAYAN BARANGAY HEALTH STATION,Barangay Health Station
SAN VICENTE BARANGAY HEALTH STATION,Barangay Health Station
BISMARTZ BARANGAY HEALTH STATION,Barangay Health Station
BOCBOC BARANGAY HEALTH STATION,Barangay Health Station
BUYOT BARANGAY HEALTH STATION,Barangay Health Station
CABADIANGAN BARANGAY HEALTH STATION,Barangay Health Station
CALAOCALAO BARANGAY HEALTH STATION,Barangay Health Station
DON CARLOS DOCTORS HOSPITAL,Hospital
DON CARLOS DOCTORS HOSPITAL DRUG TESTING LABORATORY,Drug Testing Laboratory
DON CARLOS HEALTH CHECK DIAGNOSTICS,Drug Testing Laboratory
